text,Word,Sentence #,indexloc
"1 , 500 名 の クリエイター・カメラマン を 持つ vivito 社 と 資本 業務 提携 「 カチコ 」 動画 供給 事業 の 成長 加速 ・ リアル ペイ 経済 圏 拡大 へ",1,1,0
,",",1,1
,500,1,2
,名,1,3
,の,1,4
,クリエイター・カメラマン,1,5
,を,1,6
,持つ,1,7
,vivito,1,8
,社,1,9
,と,1,10
,資本,1,11
,業務,1,12
,提携,1,13
,「,1,14
,カチコ,1,15
,」,1,16
,動画,1,17
,供給,1,18
,事業,1,19
,の,1,20
,成長,1,21
,加速,1,22
,・,1,23
,リアル,1,24
,ペイ,1,25
,経済,1,26
,圏,1,27
,拡大,1,28
,へ,1,29
イタンジ 、 ダンゴ ネット と 業務 提携,イタンジ,2,0
,、,2,1
,ダンゴ,2,2
,ネット,2,3
,と,2,4
,業務,2,5
,提携,2,6
NEWS 2019 . 02 . 26 ビッグ データ 収集 ・ 分析 の 株式会社 キーウォーカー と 資本 業務 提携,NEWS,3,0
,2019,3,1
,.,3,2
,02,3,3
,.,3,4
,26,3,5
,ビッグ,3,6
,データ,3,7
,収集,3,8
,・,3,9
,分析,3,10
,の,3,11
,株式会社,3,12
,キーウォーカー,3,13
,と,3,14
,資本,3,15
,業務,3,16
,提携,3,17
株式会社 リサーチアンドソリューション ESRI ジャパン 株式会社 と 業務 提携 GIS 利 活用 を 目的 と し た ビジネス パートナー 契約 を 締結 し まし た,株式会社,4,0
,リサーチアンドソリューション,4,1
,ESRI,4,2
,ジャパン,4,3
,株式会社,4,4
,と,4,5
,業務,4,6
,提携,4,7
,GIS,4,8
,利,4,9
,活用,4,10
,を,4,11
,目的,4,12
,と,4,13
,し,4,14
,た,4,15
,ビジネス,4,16
,パートナー,4,17
,契約,4,18
,を,4,19
,締結,4,20
,し,4,21
,まし,4,22
,た,4,23
第三者 割当 による 新 株式 及び 新株 予約 権 の 発行 、 業務 ・ 資本 提携 契約 の 締結 並びに 主要 株主 、 主要 株主 で ある 筆頭 株主 及び その他 の 関係 会社 の 異動 に関する お知らせ （ 994 KB ）,第三者,5,0
,割当,5,1
,による,5,2
,新,5,3
,株式,5,4
,及び,5,5
,新株,5,6
,予約,5,7
,権,5,8
,の,5,9
,発行,5,10
,、,5,11
,業務,5,12
,・,5,13
,資本,5,14
,提携,5,15
,契約,5,16
,の,5,17
,締結,5,18
,並びに,5,19
,主要,5,20
,株主,5,21
,、,5,22
,主要,5,23
,株主,5,24
,で,5,25
,ある,5,26
,筆頭,5,27
,株主,5,28
,及び,5,29
,その他,5,30
,の,5,31
,関係,5,32
,会社,5,33
,の,5,34
,異動,5,35
,に関する,5,36
,お知らせ,5,37
,（,5,38
,994,5,39
,KB,5,40
,）,5,41
業務 提携 に関する 基本 合意 の お知らせ （ 111 KB ）,業務,6,0
,提携,6,1
,に関する,6,2
,基本,6,3
,合意,6,4
,の,6,5
,お知らせ,6,6
,（,6,7
,111,6,8
,KB,6,9
,）,6,10
国内 全域 の 自動 運転 サービス 実証 向け インシュアテックソリューション 「 Level IV Discovery 」 の 共同 開発 に 向け た 業務 提携 の お知らせ,国内,7,0
,全域,7,1
,の,7,2
,自動,7,3
,運転,7,4
,サービス,7,5
,実証,7,6
,向け,7,7
,インシュアテックソリューション,7,8
,「,7,9
,Level,7,10
,IV,7,11
,Discovery,7,12
,」,7,13
,の,7,14
,共同,7,15
,開発,7,16
,に,7,17
,向け,7,18
,た,7,19
,業務,7,20
,提携,7,21
,の,7,22
,お知らせ,7,23
中国 ハイアールグループ と ヘルスケア 領域 における 業務 提携 に 向け た 本格 協議 実施 の 合意 書 を 締結 [ PDF : 138 KB ],中国,8,0
,ハイアールグループ,8,1
,と,8,2
,ヘルスケア,8,3
,領域,8,4
,における,8,5
,業務,8,6
,提携,8,7
,に,8,8
,向け,8,9
,た,8,10
,本格,8,11
,協議,8,12
,実施,8,13
,の,8,14
,合意,8,15
,書,8,16
,を,8,17
,締結,8,18
,[,8,19
,PDF,8,20
,:,8,21
,138,8,22
,KB,8,23
,],8,24
[ プレス リリース ] 株式会社 カワニシ と の 販売 業務 提携 の お知らせ,[,9,0
,プレス,9,1
,リリース,9,2
,],9,3
,株式会社,9,4
,カワニシ,9,5
,と,9,6
,の,9,7
,販売,9,8
,業務,9,9
,提携,9,10
,の,9,11
,お知らせ,9,12
意見 表明 報告 書 の 訂正 報告 書 の 提出 及び 「 株式会社 エヌ・ティ・ティ ・ データ による 当社 株券 に対する 公開 買付け に関する 意見 表明 及び 同社 と の 資本 業務 提携 契約 締結 に関する お知らせ 」 の 訂正 について （ 102 KB ）,意見,10,0
,表明,10,1
,報告,10,2
,書,10,3
,の,10,4
,訂正,10,5
,報告,10,6
,書,10,7
,の,10,8
,提出,10,9
,及び,10,10
,「,10,11
,株式会社,10,12
,エヌ・ティ・ティ,10,13
,・,10,14
,データ,10,15
,による,10,16
,当社,10,17
,株券,10,18
,に対する,10,19
,公開,10,20
,買付け,10,21
,に関する,10,22
,意見,10,23
,表明,10,24
,及び,10,25
,同社,10,26
,と,10,27
,の,10,28
,資本,10,29
,業務,10,30
,提携,10,31
,契約,10,32
,締結,10,33
,に関する,10,34
,お知らせ,10,35
,」,10,36
,の,10,37
,訂正,10,38
,について,10,39
,（,10,40
,102,10,41
,KB,10,42
,）,10,43
株式会社 あど ばる と の 資本 業務 提携 に関する お知らせ,株式会社,11,0
,あど,11,1
,ばる,11,2
,と,11,3
,の,11,4
,資本,11,5
,業務,11,6
,提携,11,7
,に関する,11,8
,お知らせ,11,9
Japan Centre Group 、 阪神 酒販 グループ 及び 当社 グループ ３ 社 間 で の 欧州 地域 における 戦略 的 業務 提携 に関する お知らせ,Japan,12,0
,Centre,12,1
,Group,12,2
,、,12,3
,阪神,12,4
,酒販,12,5
,グループ,12,6
,及び,12,7
,当社,12,8
,グループ,12,9
,３,12,10
,社,12,11
,間,12,12
,で,12,13
,の,12,14
,欧州,12,15
,地域,12,16
,における,12,17
,戦略,12,18
,的,12,19
,業務,12,20
,提携,12,21
,に関する,12,22
,お知らせ,12,23
( 訂正 ） 「 連結 子会社 の 異動 ( 株式 譲渡 ) に関する 基本 合意 書 締結 に関する お知らせ 」 の 一部 訂正 について ( PDF 約 103 KB ),(,13,0
,訂正,13,1
,）,13,2
,「,13,3
,連結,13,4
,子会社,13,5
,の,13,6
,異動,13,7
,(,13,8
,株式,13,9
,譲渡,13,10
,),13,11
,に関する,13,12
,基本,13,13
,合意,13,14
,書,13,15
,締結,13,16
,に関する,13,17
,お知らせ,13,18
,」,13,19
,の,13,20
,一部,13,21
,訂正,13,22
,について,13,23
,(,13,24
,PDF,13,25
,約,13,26
,103,13,27
,KB,13,28
,),13,29
株式会社 フィット と の 資本 ・ 業務 提携 契約 の 締結 に関する お知らせ （ PDF : 100 KB ）,株式会社,14,0
,フィット,14,1
,と,14,2
,の,14,3
,資本,14,4
,・,14,5
,業務,14,6
,提携,14,7
,契約,14,8
,の,14,9
,締結,14,10
,に関する,14,11
,お知らせ,14,12
,（,14,13
,PDF,14,14
,:,14,15
,100,14,16
,KB,14,17
,）,14,18
SBI 証券 及び SBI マネー プラザ と 業務 提携,SBI,15,0
,証券,15,1
,及び,15,2
,SBI,15,3
,マネー,15,4
,プラザ,15,5
,と,15,6
,業務,15,7
,提携,15,8
オーク ファン 、 クロスシー と 資本 業務 提携 ～「 タテンポガイド ネクスト 」 及び 「 NETSEA 」 に 連携 し た 中国 向け 共同 ソリューション を 開発 ～,オーク,16,0
,ファン,16,1
,、,16,2
,クロスシー,16,3
,と,16,4
,資本,16,5
,業務,16,6
,提携,16,7
,～「,16,8
,タテンポガイド,16,9
,ネクスト,16,10
,」,16,11
,及び,16,12
,「,16,13
,NETSEA,16,14
,」,16,15
,に,16,16
,連携,16,17
,し,16,18
,た,16,19
,中国,16,20
,向け,16,21
,共同,16,22
,ソリューション,16,23
,を,16,24
,開発,16,25
,～,16,26
マネー フォワード と Chatwork が 資本 業務 提携,マネー,17,0
,フォワード,17,1
,と,17,2
,Chatwork,17,3
,が,17,4
,資本,17,5
,業務,17,6
,提携,17,7
当社 子会社 による 株式会社 アステム の 株式 取得 完了 （ 孫 会社 化 ） の お知らせ （ 開示 事項 の 経過 ）( 128 KB ),当社,18,0
,子会社,18,1
,による,18,2
,株式会社,18,3
,アステム,18,4
,の,18,5
,株式,18,6
,取得,18,7
,完了,18,8
,（,18,9
,孫,18,10
,会社,18,11
,化,18,12
,）,18,13
,の,18,14
,お知らせ,18,15
,（,18,16
,開示,18,17
,事項,18,18
,の,18,19
,経過,18,20
,）(,18,21
,128,18,22
,KB,18,23
,),18,24
不動産 購入 ローン に 係る 業務 提携 に関する お知らせ,不動産,19,0
,購入,19,1
,ローン,19,2
,に,19,3
,係る,19,4
,業務,19,5
,提携,19,6
,に関する,19,7
,お知らせ,19,8
（ 開示 事項 の 経過 ） 連結 子会社 の 事業 譲渡 契約 締結 の お知らせ,（,20,0
,開示,20,1
,事項,20,2
,の,20,3
,経過,20,4
,）,20,5
,連結,20,6
,子会社,20,7
,の,20,8
,事業,20,9
,譲渡,20,10
,契約,20,11
,締結,20,12
,の,20,13
,お知らせ,20,14
Netflix 社 と の 包括 的 業務 提携 の 進捗 に関する お知らせ,Netflix,21,0
,社,21,1
,と,21,2
,の,21,3
,包括,21,4
,的,21,5
,業務,21,6
,提携,21,7
,の,21,8
,進捗,21,9
,に関する,21,10
,お知らせ,21,11
株式会社 ヤマウ と の 業務 提携 に関する お知らせ,株式会社,22,0
,ヤマウ,22,1
,と,22,2
,の,22,3
,業務,22,4
,提携,22,5
,に関する,22,6
,お知らせ,22,7
株式会社 ヤマックス と の 業務 提携 に関する お知らせ,株式会社,23,0
,ヤマックス,23,1
,と,23,2
,の,23,3
,業務,23,4
,提携,23,5
,に関する,23,6
,お知らせ,23,7
FinTech サービス 「 Funds （ ファンズ ） 」 の クラウドポート 社 と 業務 提携,FinTech,24,0
,サービス,24,1
,「,24,2
,Funds,24,3
,（,24,4
,ファンズ,24,5
,）,24,6
,」,24,7
,の,24,8
,クラウドポート,24,9
,社,24,10
,と,24,11
,業務,24,12
,提携,24,13
Trenser 社 と の 業務 資本 提携 契約 を 締結 いたし まし た 。,Trenser,25,0
,社,25,1
,と,25,2
,の,25,3
,業務,25,4
,資本,25,5
,提携,25,6
,契約,25,7
,を,25,8
,締結,25,9
,いたし,25,10
,まし,25,11
,た,25,12
,。,25,13
Trenser 社 と の 業務 資本 提携 契約 の 締結 に関する お知らせ を 発表 いたし まし た 。,Trenser,26,0
,社,26,1
,と,26,2
,の,26,3
,業務,26,4
,資本,26,5
,提携,26,6
,契約,26,7
,の,26,8
,締結,26,9
,に関する,26,10
,お知らせ,26,11
,を,26,12
,発表,26,13
,いたし,26,14
,まし,26,15
,た,26,16
,。,26,17
新た な 事業 の 開始 、 業務 提携 および 合同 会社 の 設立 に関する お知らせ,新た,27,0
,な,27,1
,事業,27,2
,の,27,3
,開始,27,4
,、,27,5
,業務,27,6
,提携,27,7
,および,27,8
,合同,27,9
,会社,27,10
,の,27,11
,設立,27,12
,に関する,27,13
,お知らせ,27,14
東洋刃物 株式会社 と の 資本 業務 提携 契約 締結 に関する お知らせ [ PDF 314 KB ],東洋刃物,28,0
,株式会社,28,1
,と,28,2
,の,28,3
,資本,28,4
,業務,28,5
,提携,28,6
,契約,28,7
,締結,28,8
,に関する,28,9
,お知らせ,28,10
,[,28,11
,PDF,28,12
,314,28,13
,KB,28,14
,],28,15
東洋刃物 株式会社 と の 資本 業務 提携 契約 締結 に関する お知らせ,東洋刃物,29,0
,株式会社,29,1
,と,29,2
,の,29,3
,資本,29,4
,業務,29,5
,提携,29,6
,契約,29,7
,締結,29,8
,に関する,29,9
,お知らせ,29,10
（ 経過 事項 ） フーリンラージ 株式会社 の 株式 取得 （ 子会社 化 ） に関する お知らせ ( 0 . 2 MB ),（,30,0
,経過,30,1
,事項,30,2
,）,30,3
,フーリンラージ,30,4
,株式会社,30,5
,の,30,6
,株式,30,7
,取得,30,8
,（,30,9
,子会社,30,10
,化,30,11
,）,30,12
,に関する,30,13
,お知らせ,30,14
,(,30,15
,0,30,16
,.,30,17
,2,30,18
,MB,30,19
,),30,20
株式会社 インベストオンライン の 株式 取得 （ 子会社 化 ） に関する お知らせ,株式会社,31,0
,インベストオンライン,31,1
,の,31,2
,株式,31,3
,取得,31,4
,（,31,5
,子会社,31,6
,化,31,7
,）,31,8
,に関する,31,9
,お知らせ,31,10
資本 ・ 業務 提携 の 解消 及び 主要 株主 で ある 筆頭 株主 の 異動 並びに その他 の 関係 会社 の 異動 に関する お知らせ,資本,32,0
,・,32,1
,業務,32,2
,提携,32,3
,の,32,4
,解消,32,5
,及び,32,6
,主要,32,7
,株主,32,8
,で,32,9
,ある,32,10
,筆頭,32,11
,株主,32,12
,の,32,13
,異動,32,14
,並びに,32,15
,その他,32,16
,の,32,17
,関係,32,18
,会社,32,19
,の,32,20
,異動,32,21
,に関する,32,22
,お知らせ,32,23
・ ド ローン ・ アーキテクチャ 研究所 の エアロネクスト と ドローンサービスプラットフォーム DaaS の 開発 と ドローン・エコシステム の 構築 に 向け 業務 提携 ～ 産業 ド ローン の 社会 実装 に 向け た 取り組み を 加速 ～,・,33,0
,ド,33,1
,ローン,33,2
,・,33,3
,アーキテクチャ,33,4
,研究所,33,5
,の,33,6
,エアロネクスト,33,7
,と,33,8
,ドローンサービスプラットフォーム,33,9
,DaaS,33,10
,の,33,11
,開発,33,12
,と,33,13
,ドローン・エコシステム,33,14
,の,33,15
,構築,33,16
,に,33,17
,向け,33,18
,業務,33,19
,提携,33,20
,～,33,21
,産業,33,22
,ド,33,23
,ローン,33,24
,の,33,25
,社会,33,26
,実装,33,27
,に,33,28
,向け,33,29
,た,33,30
,取り組み,33,31
,を,33,32
,加速,33,33
,～,33,34
fabbit と Trusted が 業務 提携,fabbit,34,0
,と,34,1
,Trusted,34,2
,が,34,3
,業務,34,4
,提携,34,5
（ 訂正 ） 「 連結 子会社 の 異動 ( 株式 譲渡 ） に関する 基本 合意 書 締結 に関する お知らせ 」 の 一部 訂正 について （ PDF 約 100 KB ）,（,35,0
,訂正,35,1
,）,35,2
,「,35,3
,連結,35,4
,子会社,35,5
,の,35,6
,異動,35,7
,(,35,8
,株式,35,9
,譲渡,35,10
,）,35,11
,に関する,35,12
,基本,35,13
,合意,35,14
,書,35,15
,締結,35,16
,に関する,35,17
,お知らせ,35,18
,」,35,19
,の,35,20
,一部,35,21
,訂正,35,22
,について,35,23
,（,35,24
,PDF,35,25
,約,35,26
,100,35,27
,KB,35,28
,）,35,29
2019 年 03 月 20 日 関連 会社 における 株式会社 クラウドポート と の 業務 提携 及び 当社 企画 ・ 開発 物件 を 対象 と する ファンド 公開 の お知らせ PR 情報 NEW !,2019,36,0
,年,36,1
,03,36,2
,月,36,3
,20,36,4
,日,36,5
,関連,36,6
,会社,36,7
,における,36,8
,株式会社,36,9
,クラウドポート,36,10
,と,36,11
,の,36,12
,業務,36,13
,提携,36,14
,及び,36,15
,当社,36,16
,企画,36,17
,・,36,18
,開発,36,19
,物件,36,20
,を,36,21
,対象,36,22
,と,36,23
,する,36,24
,ファンド,36,25
,公開,36,26
,の,36,27
,お知らせ,36,28
,PR,36,29
,情報,36,30
,NEW,36,31
,!,36,32
株式会社 う るる BPO と の 業務 提携 および 『 クラウドサイン SCAN 』 サービス 開始 に関する お知らせ,株式会社,37,0
,う,37,1
,るる,37,2
,BPO,37,3
,と,37,4
,の,37,5
,業務,37,6
,提携,37,7
,および,37,8
,『,37,9
,クラウドサイン,37,10
,SCAN,37,11
,』,37,12
,サービス,37,13
,開始,37,14
,に関する,37,15
,お知らせ,37,16
イタンジ 、 ファインネットテクノロジー と 業務 提携,イタンジ,38,0
,、,38,1
,ファインネットテクノロジー,38,2
,と,38,3
,業務,38,4
,提携,38,5
（ 変更 ） 「 新た な 事業 の 開始 、 業務 提携 および 合同 会社 の 設立 に関する お知らせ 」 の 一部 変更 について,（,39,0
,変更,39,1
,）,39,2
,「,39,3
,新た,39,4
,な,39,5
,事業,39,6
,の,39,7
,開始,39,8
,、,39,9
,業務,39,10
,提携,39,11
,および,39,12
,合同,39,13
,会社,39,14
,の,39,15
,設立,39,16
,に関する,39,17
,お知らせ,39,18
,」,39,19
,の,39,20
,一部,39,21
,変更,39,22
,について,39,23
2019 年 03 月 26 日 インバウンドテクノロジー 社 と の 業務 提携 の お知らせ,2019,40,0
,年,40,1
,03,40,2
,月,40,3
,26,40,4
,日,40,5
,インバウンドテクノロジー,40,6
,社,40,7
,と,40,8
,の,40,9
,業務,40,10
,提携,40,11
,の,40,12
,お知らせ,40,13
株式会社 フルッタフルッタ と の 資本 業務 提携 契約 について,株式会社,41,0
,フルッタフルッタ,41,1
,と,41,2
,の,41,3
,資本,41,4
,業務,41,5
,提携,41,6
,契約,41,7
,について,41,8
株式会社 エフティグループ の ASEAN ３ か国 ５ 社 の 子会社 の 株式 取得 （ 連結 子会社 化 ） に関する 基本 合意 契約 締結 の お知らせ,株式会社,42,0
,エフティグループ,42,1
,の,42,2
,ASEAN,42,3
,３,42,4
,か国,42,5
,５,42,6
,社,42,7
,の,42,8
,子会社,42,9
,の,42,10
,株式,42,11
,取得,42,12
,（,42,13
,連結,42,14
,子会社,42,15
,化,42,16
,）,42,17
,に関する,42,18
,基本,42,19
,合意,42,20
,契約,42,21
,締結,42,22
,の,42,23
,お知らせ,42,24
連結 子会社 の 異動 （ 株式 譲渡 ） に関する 基本 合意 契約 締結 に関する お知らせ ( PDF 形式 : 275 . 6 KB ),連結,43,0
,子会社,43,1
,の,43,2
,異動,43,3
,（,43,4
,株式,43,5
,譲渡,43,6
,）,43,7
,に関する,43,8
,基本,43,9
,合意,43,10
,契約,43,11
,締結,43,12
,に関する,43,13
,お知らせ,43,14
,(,43,15
,PDF,43,16
,形式,43,17
,:,43,18
,275,43,19
,.,43,20
,6,43,21
,KB,43,22
,),43,23
株式会社 KeyHolder と の 業務 提携 に関する お知らせ,株式会社,44,0
,KeyHolder,44,1
,と,44,2
,の,44,3
,業務,44,4
,提携,44,5
,に関する,44,6
,お知らせ,44,7
J トラスト 株式会社 及び 株式会社 日本 保証 と の 業務 提携 に関する お知らせ,J,45,0
,トラスト,45,1
,株式会社,45,2
,及び,45,3
,株式会社,45,4
,日本,45,5
,保証,45,6
,と,45,7
,の,45,8
,業務,45,9
,提携,45,10
,に関する,45,11
,お知らせ,45,12
SAMURAI & J PARTNERS 株式会社 と の 業務 提携 及び 新株 予約 権 の 引き受け に関する お知らせ ( 0 . 3 MB ),SAMURAI,46,0
,&,46,1
,J,46,2
,PARTNERS,46,3
,株式会社,46,4
,と,46,5
,の,46,6
,業務,46,7
,提携,46,8
,及び,46,9
,新株,46,10
,予約,46,11
,権,46,12
,の,46,13
,引き受け,46,14
,に関する,46,15
,お知らせ,46,16
,(,46,17
,0,46,18
,.,46,19
,3,46,20
,MB,46,21
,),46,22
ソーシャルメディアマーケティング 支援 企業 、 株式会社 ガーブー と の 資本 業務 提携 に関する お知らせ,ソーシャルメディアマーケティング,47,0
,支援,47,1
,企業,47,2
,、,47,3
,株式会社,47,4
,ガーブー,47,5
,と,47,6
,の,47,7
,資本,47,8
,業務,47,9
,提携,47,10
,に関する,47,11
,お知らせ,47,12
地方自治体 向け ＳＭＳ 配信 プラットホーム 開発 に関する 業務 提携 の お知らせ,地方自治体,48,0
,向け,48,1
,ＳＭＳ,48,2
,配信,48,3
,プラットホーム,48,4
,開発,48,5
,に関する,48,6
,業務,48,7
,提携,48,8
,の,48,9
,お知らせ,48,10
子会社 の 商号 変更 及び 子会社 の 異動 を 伴う 株式 譲渡 契約 締結 ならびに 特別 損失 の 計上 に関する お知らせ （ PDF 約 188 KB ）,子会社,49,0
,の,49,1
,商号,49,2
,変更,49,3
,及び,49,4
,子会社,49,5
,の,49,6
,異動,49,7
,を,49,8
,伴う,49,9
,株式,49,10
,譲渡,49,11
,契約,49,12
,締結,49,13
,ならびに,49,14
,特別,49,15
,損失,49,16
,の,49,17
,計上,49,18
,に関する,49,19
,お知らせ,49,20
,（,49,21
,PDF,49,22
,約,49,23
,188,49,24
,KB,49,25
,）,49,26
業務 委託 契約 締結 に関する お知らせ ( 142 KB ),業務,50,0
,委託,50,1
,契約,50,2
,締結,50,3
,に関する,50,4
,お知らせ,50,5
,(,50,6
,142,50,7
,KB,50,8
,),50,9
インドネシア 送出 し 機関 「 LPK Coop Indonesia 」 と の 業務 提携 に関する お知らせ,インドネシア,51,0
,送出,51,1
,し,51,2
,機関,51,3
,「,51,4
,LPK,51,5
,Coop,51,6
,Indonesia,51,7
,」,51,8
,と,51,9
,の,51,10
,業務,51,11
,提携,51,12
,に関する,51,13
,お知らせ,51,14
IR 株式会社 Gunosy と の 業務 提携 の 基本 合意 に関する お知らせ PDF,IR,52,0
,株式会社,52,1
,Gunosy,52,2
,と,52,3
,の,52,4
,業務,52,5
,提携,52,6
,の,52,7
,基本,52,8
,合意,52,9
,に関する,52,10
,お知らせ,52,11
,PDF,52,12
フード 関連 施設 （ 横丁 事業 ） の 開発 開始 及び 株式会社 アスラボ と の 業務 提携 に関する お知らせ PDF ( 286 KB ),フード,53,0
,関連,53,1
,施設,53,2
,（,53,3
,横丁,53,4
,事業,53,5
,）,53,6
,の,53,7
,開発,53,8
,開始,53,9
,及び,53,10
,株式会社,53,11
,アスラボ,53,12
,と,53,13
,の,53,14
,業務,53,15
,提携,53,16
,に関する,53,17
,お知らせ,53,18
,PDF,53,19
,(,53,20
,286,53,21
,KB,53,22
,),53,23
リリース サニーサイドアップ と Gunosy が 業務 提携 に 合意 ～ デジタル と リアル の 強固 な パートナーシップ で “ 人 の 輝き を 創る ” ～,リリース,54,0
,サニーサイドアップ,54,1
,と,54,2
,Gunosy,54,3
,が,54,4
,業務,54,5
,提携,54,6
,に,54,7
,合意,54,8
,～,54,9
,デジタル,54,10
,と,54,11
,リアル,54,12
,の,54,13
,強固,54,14
,な,54,15
,パートナーシップ,54,16
,で,54,17
,“,54,18
,人,54,19
,の,54,20
,輝き,54,21
,を,54,22
,創る,54,23
,”,54,24
,～,54,25
ペーパー ロジック 株式会社 と の 資本 業務 提携 に関する お知らせ,ペーパー,55,0
,ロジック,55,1
,株式会社,55,2
,と,55,3
,の,55,4
,資本,55,5
,業務,55,6
,提携,55,7
,に関する,55,8
,お知らせ,55,9
株式会社 ビジュアライズ と の 資本 業務 提携 に関する お知らせ,株式会社,56,0
,ビジュアライズ,56,1
,と,56,2
,の,56,3
,資本,56,4
,業務,56,5
,提携,56,6
,に関する,56,7
,お知らせ,56,8
資本 業務 提携 及び 第三者 割当 による 新株 式 の 発行 に関する お知らせ,資本,57,0
,業務,57,1
,提携,57,2
,及び,57,3
,第三者,57,4
,割当,57,5
,による,57,6
,新株,57,7
,式,57,8
,の,57,9
,発行,57,10
,に関する,57,11
,お知らせ,57,12
株式会社 スノーピーク と の 資本 業務 提携 に関する お知らせ,株式会社,58,0
,スノーピーク,58,1
,と,58,2
,の,58,3
,資本,58,4
,業務,58,5
,提携,58,6
,に関する,58,7
,お知らせ,58,8
株式会社 アイスクウェアド と ARCHIBUS に 係る 販売 代理 店 契約 を 締結 し まし た 。,株式会社,59,0
,アイスクウェアド,59,1
,と,59,2
,ARCHIBUS,59,3
,に,59,4
,係る,59,5
,販売,59,6
,代理,59,7
,店,59,8
,契約,59,9
,を,59,10
,締結,59,11
,し,59,12
,まし,59,13
,た,59,14
,。,59,15
全国 に 店舗 展開 ！ リユース 事業 を 手掛ける 株式会社 トレジャー・ファクトリー と の 業務 提携 に関する お知らせ,全国,60,0
,に,60,1
,店舗,60,2
,展開,60,3
,！,60,4
,リユース,60,5
,事業,60,6
,を,60,7
,手掛ける,60,8
,株式会社,60,9
,トレジャー・ファクトリー,60,10
,と,60,11
,の,60,12
,業務,60,13
,提携,60,14
,に関する,60,15
,お知らせ,60,16
株式会社 ツムラ と の 業務 提携 に関する お知らせ,株式会社,61,0
,ツムラ,61,1
,と,61,2
,の,61,3
,業務,61,4
,提携,61,5
,に関する,61,6
,お知らせ,61,7
株式 の 取得 （ 子会社 化 ） に関する 基本 合意 書 締結 の お知らせ,株式,62,0
,の,62,1
,取得,62,2
,（,62,3
,子会社,62,4
,化,62,5
,）,62,6
,に関する,62,7
,基本,62,8
,合意,62,9
,書,62,10
,締結,62,11
,の,62,12
,お知らせ,62,13
2019 年 04 月 15 日 IR ニュース 千葉 ジェッツ ふ な ば し と の 戦略 的 資本 業務 提携 および 株式 取得 に関する お知らせ NEW PDF ( 391 KB ),2019,63,0
,年,63,1
,04,63,2
,月,63,3
,15,63,4
,日,63,5
,IR,63,6
,ニュース,63,7
,千葉,63,8
,ジェッツ,63,9
,ふ,63,10
,な,63,11
,ば,63,12
,し,63,13
,と,63,14
,の,63,15
,戦略,63,16
,的,63,17
,資本,63,18
,業務,63,19
,提携,63,20
,および,63,21
,株式,63,22
,取得,63,23
,に関する,63,24
,お知らせ,63,25
,NEW,63,26
,PDF,63,27
,(,63,28
,391,63,29
,KB,63,30
,),63,31
株式会社 新 東京 グループ と の 業務 提携 に関する お知らせ ( 平成 31 年 4 月 12 日 ) PDF ダウンロード,株式会社,64,0
,新,64,1
,東京,64,2
,グループ,64,3
,と,64,4
,の,64,5
,業務,64,6
,提携,64,7
,に関する,64,8
,お知らせ,64,9
,(,64,10
,平成,64,11
,31,64,12
,年,64,13
,4,64,14
,月,64,15
,12,64,16
,日,64,17
,),64,18
,PDF,64,19
,ダウンロード,64,20
サイン ポスト と トッパンフォームズ 無人 AI レジ ビジネス の 業務 提携 に 基本 合意 ～ 販売 権 に関する 契約 締結 及び 周辺 サービス 提供 に 向け た 協業 検討 を 開始 ～（ 320 KB ）,サイン,65,0
,ポスト,65,1
,と,65,2
,トッパンフォームズ,65,3
,無人,65,4
,AI,65,5
,レジ,65,6
,ビジネス,65,7
,の,65,8
,業務,65,9
,提携,65,10
,に,65,11
,基本,65,12
,合意,65,13
,～,65,14
,販売,65,15
,権,65,16
,に関する,65,17
,契約,65,18
,締結,65,19
,及び,65,20
,周辺,65,21
,サービス,65,22
,提供,65,23
,に,65,24
,向け,65,25
,た,65,26
,協業,65,27
,検討,65,28
,を,65,29
,開始,65,30
,～（,65,31
,320,65,32
,KB,65,33
,）,65,34
2501 株式会社 と の 資本 業務 提携 に関する お知らせ,2501,66,0
,株式会社,66,1
,と,66,2
,の,66,3
,資本,66,4
